,postId,time_start_experiment,stim,time_start_exp,time_end_exp,time_diff_exp,ans01,ans02,ans1,ans2,views,time_start_demo,time_end_demo,time_diff_demo,age,sex,degree,monitor,computer,expert,train,cb,time_start_spatial-first,time_end_spatial-first,time_diff_spatial-first,spatial_1,spatial_2,spatial_3,spatial_4,spatial_5,spatial_6,spatial_7,spatial_8,spatial_9,spatial_10,spatialFirst_numCorrect,spatialFirst_numWrong,spatialFirst_numSkipped,time_start_spatial-second,time_end_spatial-second,time_diff_spatial-second,spatial_11,spatial_12,spatial_13,spatial_14,spatial_15,spatial_16,spatial_17,spatial_18,spatial_19,spatial_20,spatialSecond_numCorrect,spatialSecond_numWrong,spatialSecond_numSkipped,time_end_experiment,time_diff_experiment,comments,ans1Corr,ans2Corr,numCorr,bonus,corr,spatialAbility,drop
49,knbu6s0a,1618065109433,worseStatic,1618065145969,1618065226748,80779,true positive,true positive,60,100,,1618065230384,1618065244403,14019,25-39,Male,Bachelors,19,21-30,intermediate,5,not_colorblind,1618065249829,1618065298987,49158,d,c,e,d,c,d,e,d,c,d,1,9,0,1618065310015,1618065348316,38301,e,c,d,e,d,c,d,e,d,c,3,7,0,1618065348323,238890,satisifed to me a great deal,0,0,0,40,0,0.0,0
50,knbtwyqu,1618064650765,betterStatic,1618065227533,1618065282604,55071,true positive,true positive,56,50,,1618065294724,1618065347167,52443,25-39,Male,Bachelors,19,31-40,expert,5,not_colorblind,1618065480333,1618065661335,181002,a,d,b,d,b,e,,,,,6,0,4,1618065666885,1618065808388,141503,c,b,a,e,b,a,a,b,b,e,6,4,0,1618065808412,1157647,Good exercise.,0,0,0,120,0,11.0,0
51,knbtwgfc,1618064627699,betterStatic,1618065202907,1618065485249,282342,false positive,false positive,3,1,,1618065564443,1618065572196,7753,40-49,Male,Other,11,21-30,low-intermediate,2,R,1618065580419,1618065619436,39017,a,d,b,b,c,c,b,b,b,c,3,7,0,1618065632489,1618065695391,62902,c,d,b,c,b,b,b,d,b,b,3,7,0,1618065695403,1067704,YES,0,0,0,60,0,2.5,0
52,knbu8lmx,1618065193640,betterStatic,1618065206368,1618065219523,13155,true positive,true positive,12,2,,1618065222052,1618065234114,12062,25-39,Male,Masters,17,31-40,high-intermediate,4,colorblind,1618065238816,1618065260410,21594,c,d,c,e,d,d,,b,c,,1,7,2,1618065262714,1618065447548,184834,c,b,,,,,,,,,2,0,8,1618065447564,253924,good,0,0,0,30,0,1.25,0
53,knbugy0h,1618065582696,middleStatic,1618065602837,1618065624070,21233,true positive,true positive,56,20,,1618065625971,1618065642729,16758,40-49,Male,Bachelors,11,6-10,high-intermediate,5,not_colorblind,1618065648504,1618065668555,20051,c,d,d,c,d,d,d,e,e,e,3,7,0,1618065671803,1618065688813,17010,b,c,c,c,d,d,d,d,c,d,1,9,0,1618065688827,106131,good,0,0,0,40,0,0.0,0
54,knbufyd4,1618065536600,middleStatic,1618065547642,1618065561420,13778,true positive,true positive,56,20,,1618065563541,1618065576957,13416,40-49,Male,Bachelors,11,21-30,intermediate,4,not_colorblind,1618065582216,1618065603170,20954,b,c,d,c,d,d,d,d,c,,0,9,1,1618065605357,1618065620736,15379,c,d,d,c,c,d,d,d,e,e,2,8,0,1618065620749,84149,na,0,0,0,20,0,-2.25,0
55,knbuelfj,1618065473182,betterStatic,1618065518556,1618065545484,26928,true positive,true positive,57,56,,1618065550979,1618065565043,14064,25-39,Male,Bachelors,13,21-30,intermediate,2,not_colorblind,1618065592018,1618065622316,30298,a,b,d,c,e,a,c,a,d,d,1,9,0,1618065624626,1618065649658,25032,c,c,d,b,c,e,e,b,d,d,3,7,0,1618065649663,176481,none,1,1,2,60,1,0.0,0
56,knbuj91b,1618065690443,middleStatic,1618065800765,1618065970691,169926,true positive,true positive,57,24,,1618065973088,1618066038606,65518,40-49,Female,Masters,15,41-50,high-intermediate,4,not_colorblind,1618066104264,1618066283547,179283,d,d,d,e,d,c,a,e,c,b,2,8,0,1618066286282,1618066474030,187748,e,e,e,e,e,d,d,c,b,c,2,8,0,1618066474058,783615,It was interesting,1,0,1,50,0,0.0,0
57,knbun0pp,1618065866903,betterStatic,1618065877815,1618065892500,14685,true positive,true positive,5,5,,1618065895731,1618065936792,41061,40-49,Female,Bachelors,13,11-20,intermediate,5,colorblind,1618065942068,1618065960609,18541,e,d,d,e,d,e,d,e,d,e,3,7,0,1618065972997,1618065989970,16973,e,d,e,d,e,d,e,d,e,d,2,8,0,1618065989979,123076,LIKE,0,0,0,50,0,1.25,0
58,knbul9hw,1618065784162,worseStatic,1618065959441,1618066012941,53500,true negative,true negative,19,19,,1618066033371,1618066133260,99889,25-39,Male,Bachelors,23 or larger,6-10,R,3,not_colorblind,1618066192739,1618066303450,110711,e,b,b,a,e,c,c,e,d,a,1,9,0,1618066314703,1618066495709,181006,c,c,d,b,a,d,d,,,,1,6,3,1618066495714,711552,i love this,0,0,0,20,0,-1.75,0
59,knbuphq8,1618065982777,worseStatic,1618066312917,1618066371701,58784,true negative,true negative,20,80,,1618066380486,1618066476416,95930,25-39,Male,Bachelors,19,31-40,high-intermediate,5,not_colorblind,1618066571981,1618066711336,139355,e,d,e,a,a,c,e,c,d,a,2,8,0,1618066717169,1618066855943,138774,a,a,e,b,e,e,d,b,c,b,0,10,0,1618066855951,873174,very nice task,0,0,0,20,0,-2.5,0
60,knbu2vbm,1618064926073,betterStatic,1618066320268,1618066337837,17569,true negative,true negative,19,19,,1618066340566,1618066379037,38471,25-39,Male,Bachelors,21,6-10,R,1,not_colorblind,1618066383126,1618066422975,39849,e,b,e,a,d,e,c,a,d,a,1,9,0,1618066425025,1618066608033,183008,e,d,e,c,a,d,d,c,,,0,8,2,1618066608044,1681971,i love this survey,0,0,0,10,0,-3.25,0
61,knbuzc51,1618066441493,worseStatic,1618066477166,1618066497054,19888,true positive,true positive,5,6,,1618066501110,1618066525212,24102,25-39,Female,Bachelors,13,21-30,expert,4,colorblind,1618066534030,1618066563501,29471,d,,e,c,d,e,d,c,d,e,3,6,1,1618066567642,1618066590053,22411,c,d,c,d,c,d,c,d,b,d,2,8,0,1618066590060,148567,NICE,0,0,0,50,0,1.5,0
62,knbvc3z4,1618067037091,betterStatic,1618067139399,1618067222969,83570,false positive,false positive,57,56,,1618067228941,1618067277041,48100,25-39,Female,Bachelors,13,51-60,intermediate,3,not_colorblind,1618067338893,1618067519895,181002,a,d,,,,,,,,,2,0,8,1618067523553,1618067704568,181015,c,b,a,e,b,e,,,,,5,1,4,1618067704574,667483,it was tasking,1,1,2,90,1,6.75,0
63,knbvdnoe,1618067109283,betterStatic,1618067127228,1618067161380,34152,true positive,true positive,1,1,,1618067165226,1618067192510,27284,40-49,Male,Bachelors,11,31-40,expert,5,not_colorblind,1618067200371,1618067231164,30793,e,b,b,c,a,b,c,d,c,d,1,9,0,1618067233861,1618067249513,15652,c,d,e,d,e,e,e,e,d,d,3,7,0,1618067249526,140243,good ATC6OUWXTWJSC,0,0,0,40,0,0.0,0
64,knbvizce,1618067357327,betterStatic,1618067825574,1618067834453,8879,false negative,false negative,5,6,,1618067836266,1618067846685,10419,25-39,Male,Masters,17,31-40,high-intermediate,4,colorblind,1618067850056,1618067864687,14631,a,c,c,b,b,c,d,e,d,c,2,8,0,1618067866404,1618067880424,14020,a,b,b,c,c,b,d,e,d,c,3,7,0,1618067880434,523107,good,0,0,0,50,0,1.25,0
65,knbvqoan,1618067716669,betterStatic,1618067781807,1618067870796,88989,true positive,true positive,57,56,,1618067875591,1618067902229,26638,40-49,Male,PhD,23 or larger,41-50,high-intermediate,4,not_colorblind,1618067920032,1618068101033,181001,a,d,b,d,b,e,e,c,,,7,1,2,1618068103422,1618068284421,180999,c,b,a,e,e,d,d,c,,,4,4,2,1618068284423,567754,It is a little bit hard to finish with the time limitation.,1,1,2,130,1,9.75,0
66,knbvqydt,1618067729884,betterStatic,1618067748210,1618067785052,36842,true positive,true positive,10,8,,1618067798364,1618067840227,41863,40-49,Male,Masters,21,gt60,high-intermediate,5,colorblind,1618067859560,1618067883841,24281,c,c,c,c,c,c,c,c,c,c,1,9,0,1618067889627,1618067900932,11305,c,b,b,b,b,b,b,c,c,b,3,7,0,1618067900936,171052,good,0,0,0,40,0,0.0,0
67,knbvrxpx,1618067776869,middleStatic,1618067840414,1618067863774,23360,true positive,true positive,7,6,,1618067870614,1618067913477,42863,40-49,Female,Bachelors,11,6-10,expert,5,not_colorblind,1618067928684,1618067962077,33393,a,b,c,c,d,c,c,b,c,b,1,9,0,1618067969012,1618067990565,21553,c,d,c,b,c,b,c,d,d,c,4,6,0,1618067990579,213710,good,0,0,0,50,0,1.25,0
68,knbvsvvo,1618067819888,betterStatic,1618067834685,1618067861381,26696,false positive,false positive,80000,20000,,1618067865358,1618067889852,24494,40-49,Male,Bachelors,17,41-50,novice,5,colorblind,1618067896711,1618067997384,100673,a,d,b,c,d,c,,c,,b,4,4,2,1618068000149,1618068071794,71645,c,b,d,e,,e,d,c,b,a,3,6,1,1618068071799,251911,nice,0,0,0,70,0,4.5,0
69,knbvm5c9,1618067505164,betterStatic,1618067521248,1618067576259,55011,true positive,true positive,100,100,,1618067591125,1618067622583,31458,25-39,Female,Bachelors,15,31-40,expert,4,not_colorblind,1618067631098,1618067657901,26803,e,d,c,c,d,d,c,c,d,c,2,8,0,1618067661399,1618067681411,20012,c,d,c,c,d,d,b,c,b,c,2,8,0,1618067681420,176256,good,0,0,0,40,0,0.0,0
70,knbvs0hn,1618067779636,betterStatic,1618067895785,1618068019394,123609,true negative,true negative,19,20,,1618068022620,1618068055251,32631,40-49,Male,Masters,21,41-50,high-intermediate,5,not_colorblind,1618068061525,1618068239843,178318,a,b,b,a,d,d,c,e,d,c,2,8,0,1618068248539,1618068274741,26202,d,c,e,b,c,c,d,e,b,d,0,10,0,1618068274748,495112,Good and very interesting.,0,0,0,20,0,-2.5,0
71,knbvu3c0,1618067876901,betterStatic,1618067915220,1618068005835,90615,true positive,true positive,56,19,,1618068021518,1618068062421,40903,25-39,Female,Masters,17,41-50,high-intermediate,5,not_colorblind,1618068081615,1618068163251,81636,d,c,d,c,b,c,c,d,c,d,1,9,0,1618068169329,1618068226020,56691,d,a,d,c,e,d,c,c,d,c,2,8,0,1618068226030,349129,nice and useful survey for me.,0,0,0,30,0,-1.25,0
72,knbvvfgt,1618067938133,middleStatic,1618067960221,1618068070351,110130,true positive,true positive,56,79,,1618068074737,1618068092507,17770,25-39,Male,Bachelors,17,gt60,intermediate,2,not_colorblind,1618068104115,1618068285121,181006,a,d,c,d,c,e,,,,e,5,2,3,1618068286849,1618068467851,181002,c,b,a,e,e,,,,d,a,5,2,3,1618068467852,529719,This was difficult.,0,0,0,100,0,9.0,0
73,knbvw4nj,1618067970764,worseStatic,1618067995406,1618068020970,25564,true positive,true positive,52,20,,1618068033760,1618068080101,46341,40-49,Male,Bachelors,15,21-30,high-intermediate,5,not_colorblind,1618068085402,1618068103028,17626,b,c,d,e,d,d,d,e,e,d,1,9,0,1618068105334,1618068134746,29412,d,e,e,d,d,d,e,e,d,d,2,8,0,1618068134761,163997,na,0,0,0,30,0,-1.25,0
74,knbvx6ja,1618068020400,worseStatic,1618068042871,1618068061894,19023,true positive,true positive,15,16,,1618068067019,1618068095006,27987,25-39,Male,Masters,21,41-50,intermediate,5,colorblind,1618068124278,1618068158854,34576,a,b,c,e,e,a,e,c,c,c,2,8,0,1618068162846,1618068179381,16535,a,e,e,e,c,c,c,c,d,c,3,7,0,1618068179387,158987,good,0,0,0,50,0,1.25,0
75,knbvv1yn,1618067922070,worseStatic,1618068112507,1618068226859,114352,true positive,true positive,80,56,,1618068243715,1618068295378,51663,25-39,Female,Bachelors,13,gt60,expert,5,not_colorblind,1618068335379,1618068406285,70906,c,b,c,c,d,c,c,c,b,b,1,9,0,1618068413465,1618068459572,46107,b,c,c,d,c,b,c,c,c,d,0,10,0,1618068459577,537507,great survey,0,1,1,20,0,-3.75,0
76,knbvzwrf,1618068150037,worseStatic,1618068213341,1618068330529,117188,true positive,true positive,56,56,,1618068334016,1618068366646,32630,25-39,Male,Bachelors,21,31-40,intermediate,5,not_colorblind,1618068391438,1618068458399,66961,e,c,b,a,d,b,d,c,e,e,4,6,0,1618068461402,1618068487360,25958,c,b,d,d,e,d,c,b,c,d,2,8,0,1618068487369,337332,good,0,1,1,70,0,2.5,0
77,knbw11mi,1618068200856,middleStatic,1618068213301,1618068298330,85029,true positive,true positive,56,19,,1618068304833,1618068327009,22176,25-39,Male,Bachelors,23 or larger,51-60,expert,5,colorblind,1618068332606,1618068370104,37498,c,d,e,d,e,d,e,d,c,e,3,7,0,1618068373489,1618068396507,23018,d,e,d,c,e,d,c,d,e,d,1,9,0,1618068396525,195669,Good and very useful study.,0,0,0,40,0,0.0,0
78,knbw19ty,1618068210758,middleStatic,1618068223782,1618068256245,32463,true positive,true positive,56,20,,1618068258959,1618068292955,33996,50-59,Male,Bachelors,15,11-20,high-intermediate,5,not_colorblind,1618068311981,1618068362900,50919,d,e,d,d,e,d,d,d,d,e,2,8,0,1618068365435,1618068397976,32541,c,d,e,d,d,e,d,e,e,d,1,9,0,1618068397985,187227,na,0,0,0,30,0,-1.25,0
79,knbw31hu,1618068294797,worseStatic,1618068389257,1618068448146,58889,true negative,true negative,56,24,,1618068459505,1618068504858,45353,25-39,Female,Bachelors,21,21-30,high-intermediate,5,not_colorblind,1618068530327,1618068684567,154240,a,b,c,a,a,b,c,e,b,d,1,9,0,1618068691820,1618068826965,135145,c,c,e,b,d,d,e,d,c,b,3,7,0,1618068826976,532179,Such a good experiment.,0,0,0,40,0,0.0,0
80,knbw3cyd,1618068308350,betterStatic,1618068426655,1618068628004,201349,true positive,true positive,56,56,,1618068636875,1618068692122,55247,25-39,Female,Masters,11,21-30,intermediate,4,not_colorblind,1618068743322,1618068924344,181022,a,d,b,d,b,e,a,c,d,,8,1,1,1618068928998,1618069067030,138032,c,b,a,e,b,a,e,b,d,c,9,1,0,1618069067036,758686,i think too much. and it is very interesting.,0,1,1,180,0,16.5,0
81,knbw6soj,1618068468567,betterStatic,1618068484831,1618068607522,122691,true positive,true positive,57,24,,1618068610799,1618068640421,29622,25-39,Male,Bachelors,15,21-30,expert,5,not_colorblind,1618068646455,1618068749594,103139,a,a,c,e,a,a,e,d,c,c,1,9,0,1618068751763,1618068812534,60771,b,c,d,d,c,e,b,a,b,c,1,9,0,1618068812543,343976,It is interesting survey.,1,0,1,30,0,-2.5,0
82,knbw8efp,1618068543503,betterStatic,1618068554869,1618068606540,51671,true positive,true positive,57,24,,1618068609568,1618068630160,20592,40-49,Female,Masters,15,41-50,high-intermediate,4,not_colorblind,1618068637780,1618068818780,181000,e,d,d,d,c,d,d,e,e,d,3,7,0,1618068822212,1618069003418,181206,c,d,e,e,b,d,d,d,d,d,5,5,0,1618069003460,459957,it was nice,1,0,1,90,0,5.0,0
83,knbwj9gk,1618069050279,worseStatic,1618069083293,1618069239906,156613,true positive,true positive,60,50,,1618069246186,1618069273955,27769,50-59,Female,Bachelors,11,11-20,high-intermediate,5,not_colorblind,1618069281307,1618069298064,16757,c,c,b,d,a,b,a,b,c,b,3,7,0,1618069302715,1618069312167,9452,a,d,b,e,b,b,b,b,b,b,2,8,0,1618069312175,261896,VERY INTERESTING....,0,0,0,50,0,1.25,0
84,knbwku29,1618069123885,middleStatic,1618069135054,1618069245398,110344,false positive,false positive,57,24,,1618069248037,1618069270833,22796,40-49,Male,Bachelors,17,11-20,intermediate,4,colorblind,1618069275820,1618069299894,24074,c,b,c,d,b,c,d,c,b,d,3,7,0,1618069306399,1618069323533,17134,d,c,b,c,d,c,b,c,d,c,2,8,0,1618069323538,199653,good,1,0,1,60,0,1.25,0
85,knbwusk4,1618069589057,betterStatic,1618069737407,1618069872193,134786,false positive,true positive,56,30,,1618069879725,1618069899954,20229,25-39,Female,Bachelors,R,41-50,intermediate,4,not_colorblind,1618069931049,1618070038275,107226,a,a,c,d,c,b,c,d,c,b,2,8,0,1618070043894,1618070065114,21220,c,d,d,b,c,c,d,d,c,d,2,8,0,1618070065121,476064,Interesting and thoughtful.,0,0,0,40,0,0.0,0
86,knbwx4v9,1618069699459,middleStatic,1618070001510,1618070151181,149671,true negative,true positive,56,1,,1618070168495,1618070275389,106894,25-39,Female,Bachelors,15,11-20,high-intermediate,5,not_colorblind,1618070314555,1618070454733,140178,e,b,a,d,a,d,e,e,d,a,1,9,0,1618070482987,1618070563474,80487,c,a,e,b,c,a,d,b,d,e,3,7,0,1618070563478,864019,I like this study.,0,0,0,40,0,0.0,0
87,knbx35b6,1618069978180,worseStatic,1618070155773,1618070307228,151455,true positive,true positive,56,57,,1618070314642,1618070346636,31994,50-59,Female,Masters,13,41-50,expert,5,not_colorblind,1618071147363,1618071292625,145262,a,b,a,a,a,d,c,c,d,d,2,8,0,1618071296552,1618071431205,134653,c,b,a,c,e,a,d,b,a,a,4,6,0,1618071431234,1453054,I have very satisfied for this program.,0,0,0,60,0,2.5,0
88,knbxagob,1618070319109,worseStatic,1618070345954,1618070463385,117431,true positive,true positive,50,79,,1618070468498,1618070492846,24348,25-39,Female,Bachelors,11,gt60,high-intermediate,5,not_colorblind,1618070503185,1618070544559,41374,,a,e,c,d,c,b,c,d,d,1,8,1,1618070546849,1618070559644,12795,b,c,d,d,c,b,c,c,d,e,1,9,0,1618070559661,240552,good,0,0,0,20,0,-2.25,0
89,knbxf5bw,1618070538814,betterStatic,1618070553919,1618070572235,18316,true negative,true negative,1,1,,1618070631405,1618070655433,24028,40-49,Male,Bachelors,13,41-50,expert,4,not_colorblind,1618070662807,1618070710792,47985,a,a,,,b,d,a,c,d,,4,3,3,1618070714135,1618070737456,23321,b,c,d,d,e,d,d,c,d,d,1,9,0,1618070737462,198648,goood ,0,0,0,50,0,2.0,0
90,knbxwtph,1618071364605,middleStatic,1618071401889,1618071694767,292878,true positive,true positive,56,19,,1618071706394,1618071726883,20489,25-39,Male,Bachelors,23 or larger,21-30,expert,R,not_colorblind,1618071743255,1618071908306,165051,b,e,d,c,a,d,c,c,a,e,2,8,0,1618071936947,1618071995490,58543,d,e,e,b,c,c,d,e,c,d,0,10,0,1618071995497,630892,none,0,0,0,20,0,-2.5,0
91,knby3xsv,1618071695170,worseStatic,1618071728497,1618071746145,17648,false negative,false negative,-1,-1,,1618071751015,1618071765601,14586,25-39,Male,Masters,15,21-30,intermediate,R,colorblind,1618071771791,1618071792921,21130,c,d,c,d,e,d,e,d,c,d,2,8,0,1618071797429,1618071822348,24919,c,d,e,d,e,d,e,d,e,d,3,7,0,1618071822354,127184,good,0,0,0,50,0,1.25,0
92,knbyb5pb,1618072032803,middleStatic,1618072052540,1618072193980,141440,true negative,true positive,57,57,,1618072199834,1618072227418,27584,25-39,Female,Bachelors,21,41-50,intermediate,4,not_colorblind,1618072236030,1618072417053,181023,,,,,,,,,,,0,0,10,1618072559313,1618072581400,22087,b,c,d,c,b,c,d,b,c,d,1,9,0,1618072581417,548614,I like this survey,1,0,1,20,0,-1.25,1
93,knbyhy2g,1618072348166,middleStatic,1618072437824,1618072617408,179584,true positive,true positive,56,57,,1618072668508,1618072730725,62217,25-39,Male,Masters,13,31-40,expert,5,not_colorblind,1618072762351,1618072940347,177996,a,a,b,a,a,e,b,c,b,e,5,5,0,1618072945614,1618073126612,180998,c,a,a,b,b,d,d,a,e,d,3,7,0,1618073126616,778450,very nice,0,0,0,80,0,5.0,0
94,knbz70w1,1618073518428,middleStatic,1618073587189,1618073649817,62628,true negative,true negative,56,56,,1618073660248,1618073893719,233471,40-49,Male,Bachelors,11,41-50,high-intermediate,5,not_colorblind,1618073922982,1618074033422,110440,a,a,e,a,c,e,,c,e,b,4,5,1,1618074042959,1618074107172,64213,c,a,c,c,b,d,d,c,d,d,3,7,0,1618074107186,588758,i would like to work on this study,0,1,1,80,0,4.0,0
95,knbyltz4,1618072530361,worseStatic,1618073586790,1618073891202,304412,true negative,true negative,56,32,,1618073900007,1618073988714,88707,50-59,Male,Bachelors,15,11-20,expert,3,not_colorblind,1618074002169,1618074183171,181002,a,,,,,,,,,,1,0,9,1618074189438,1618074268455,79017,c,b,a,e,c,d,d,c,c,d,4,6,0,1618074268459,1738098,The survey is a little demanding. But interesting.,0,0,0,50,0,3.5,0
96,knc837z8,1618088458962,betterStatic,1618088469789,1618088540761,70972,true positive,true positive,50,1,,1618088544553,1618088585197,40644,40-49,Female,Bachelors,15,11-20,high-intermediate,5,not_colorblind,1618088591762,1618088617602,25840,c,c,d,b,d,c,b,d,c,d,0,10,0,1618088620801,1618088648528,27727,c,b,d,c,d,c,d,b,d,c,4,6,0,1618088648538,189576,very good study.,0,0,0,40,0,0.0,0
97,knbznoy0,1618074295803,middleStatic,1618074325143,1618074378093,52950,true positive,true positive,56,57,,1618074381487,1618074455541,74054,50-59,Female,High School,21,31-40,intermediate,5,not_colorblind,1618074510339,1618074691351,181012,a,c,b,c,d,e,b,,,,3,4,3,1618074694617,1618074737844,43227,c,b,a,,b,c,b,c,d,c,6,3,1,1618074737855,442052,good,0,0,0,90,0,7.25,0
98,knc0283x,1618074973813,middleStatic,1618074982850,1618075008819,25969,true positive,true positive,56,19,,1618075011503,1618075034216,22713,25-39,Male,Bachelors,23 or larger,41-50,high-intermediate,3,not_colorblind,1618075040885,1618075050239,9354,b,e,e,e,e,e,e,e,e,d,2,8,0,1618075052430,1618075067551,15121,c,b,b,b,c,b,e,d,d,b,5,5,0,1618075067561,93748,None,0,0,0,70,0,3.75,0
99,knc0z4e7,1618076508427,worseStatic,1618076520491,1618076543917,23426,true positive,true positive,65,35,,1618076545907,1618076562538,16631,25-39,Male,Bachelors,15,21-30,intermediate,5,not_colorblind,1618076576777,1618076602033,25256,e,c,c,d,b,c,d,,c,c,2,7,1,1618076607745,1618076652677,44932,c,b,d,e,c,e,d,c,b,d,3,7,0,1618076652684,144257,no comments,0,0,0,50,0,1.5,0
100,knc16687,1618076839538,middleStatic,1618077257262,1618077325342,68080,true negative,true negative,56,1,,1618077339578,1618077388694,49116,25-39,Male,Bachelors,21,21-30,intermediate,5,not_colorblind,1618077585048,1618077692817,107769,a,d,d,d,b,,d,b,c,d,4,5,1,1618077701731,1618077760982,59251,c,b,a,e,e,d,d,d,c,d,5,5,0,1618077760986,921448,interesting study,0,0,0,90,0,6.5,0
101,knc2ssyq,1618079574502,middleStatic,1618079644386,1618079796491,152105,true negative,true positive,80,66,,1618079803476,1618079830563,27087,50-59,Male,Bachelors,9 or smaller,41-50,intermediate,3,not_colorblind,1618079874502,1618079952339,77837,a,d,c,d,c,b,d,c,b,d,4,6,0,1618079978017,1618080010523,32506,b,d,b,d,b,d,b,d,b,d,2,8,0,1618080010532,436030,The goal of this study is to better understand how visualizations can help with reasoning problems. The result of this study will help in the improvement of future visualization designs.,0,0,0,60,0,2.5,0
